MoonRise,Az,Phase,Paksha,days,Fullmoon,Newmoon,Eclipse
1901-01-01,123.2868,0.158,Krishna,0,0,1,0.0
1901-01-02,121.8232,1.26,Shukla,1,0,0,0.0
1901-01-03,118.4636,4.302,Shukla,2,0,0,0.0
1901-01-04,114.5132,9.084,Shukla,3,0,0,0.0
1901-01-05,110.1648,15.373,Shukla,4,0,0,0.0
1901-01-06,104.5023,22.883000000000003,Shukla,5,0,0,0.0
1901-01-07,97.606,31.346999999999998,Shukla,6,0,0,0.0
1901-01-08,91.579,40.618,Shukla,7,0,0,0.0
1901-01-09,85.4013,50.391000000000005,Shukla,8,0,0,0.0
1901-01-10,79.0929,60.371,Shukla,9,0,0,0.0
1901-01-11,72.7081,70.209,Shukla,10,0,0,0.0
1901-01-12,66.3571,79.475,Shukla,11,0,0,0.0
1901-01-13,62.2848,87.758,Shukla,12,0,0,0.0
1901-01-14,58.8178,94.319,Shukla,13,0,0,0.0
1901-01-15,58.5067,98.587,Shukla,14,0,0,0.0
1901-01-16,59.8501,99.941,Shukla,15,1,0,0.0
1901-01-17,64.2296,98.088,Krishna,16,0,0,0.0
1901-01-18,70.574,93.08,Krishna,17,0,0,0.0
1901-01-19,77.4136,85.382,Krishna,18,0,0,0.0
1901-01-20,85.2257,75.625,Krishna,19,0,0,0.0
1901-01-21,93.4115,64.578,Krishna,20,0,0,0.0
1901-01-22,101.4252,53.004,Krishna,21,0,0,0.0
1901-01-23,107.7075,41.653999999999996,Krishna,22,0,0,0.0
1901-01-24,114.0674,30.956,Krishna,23,0,0,0.0
1901-01-25,118.0663,21.479,Krishna,24,0,0,0.0
1901-01-26,121.7321,13.454,Krishna,25,0,0,0.0
1901-01-28,122.9481,7.2139999999999995,Krishna,27,0,0,0.0
1901-01-29,121.9015,2.888,Krishna,28,0,0,0.0
1901-01-30,119.9011,0.524,Krishna,29,0,0,0.0
1901-01-31,116.1541,0.13699999999999998,Krishna,30,0,1,0.0
1901-02-01,111.9251,1.6680000000000001,Shukla,31,0,0,0.0
1901-02-02,106.3305,4.999,Shukla,32,0,0,0.0
1901-02-03,100.5239,9.998,Shukla,33,0,0,0.0
1901-02-04,93.5394,16.456,Shukla,34,0,0,0.0
1901-02-05,87.4856,24.256,Shukla,35,0,0,0.0
1901-02-06,81.3584,33.15,Shukla,36,0,0,0.0
1901-02-07,75.1978,42.89,Shukla,37,0,0,0.0
1901-02-08,69.0765,53.183,Shukla,38,0,0,0.0
1901-02-09,64.1367,63.733000000000004,Shukla,39,0,0,0.0
1901-02-10,60.6139,74.071,Shukla,40,0,0,0.0
1901-02-11,58.8878,83.589,Shukla,41,0,0,0.0
1901-02-12,58.4323,91.514,Shukla,42,0,0,0.0
1901-02-13,61.782,97.181,Shukla,43,0,0,0.0
1901-02-14,67.1087,99.846,Shukla,44,1,0,0.0
1901-02-15,74.252,99.16,Krishna,45,0,0,0.5
1901-02-16,81.6517,95.182,Krishna,46,0,0,0.0
1901-02-17,89.736,88.321,Krishna,47,0,0,0.0
1901-02-18,97.8757,79.247,Krishna,48,0,0,0.0
1901-02-19,105.5164,68.748,Krishna,49,0,0,0.0
1901-02-20,112.2183,57.588,Krishna,50,0,0,0.0
1901-02-21,117.6768,46.426,Krishna,51,0,0,0.0
1901-02-22,120.6608,35.846,Krishna,52,0,0,0.0
1901-02-23,122.2717,26.180999999999997,Krishna,53,0,0,0.0
1901-02-24,122.6457,17.737000000000002,Krishna,54,0,0,0.0
1901-02-25,120.9576,10.780999999999999,Krishna,55,0,0,0.0
1901-02-27,117.4578,5.468999999999999,Krishna,57,0,0,0.0
1901-02-28,113.4066,1.9,Krishna,58,0,0,0.0
1901-02-29,107.9249,0.171,Krishna,58,0,1,0.0
1901-03-01,102.1771,0.307,Shukla,59,0,1,0.0
1901-03-02,96.2503,2.305,Shukla,60,0,0,0.0
1901-03-03,89.1813,6.087000000000001,Shukla,61,0,0,0.0
1901-03-04,83.0864,11.602,Shukla,62,0,0,0.0
1901-03-05,76.9902,18.69,Shukla,63,0,0,0.0
1901-03-06,70.9666,27.163,Shukla,64,0,0,0.0
1901-03-07,66.138,36.851,Shukla,65,0,0,0.0
1901-03-08,61.6666,47.388000000000005,Shukla,66,0,0,0.0
1901-03-09,58.834,58.452,Shukla,67,0,0,0.0
1901-03-10,58.0223,69.525,Shukla,68,0,0,0.0
1901-03-11,59.6685,79.945,Shukla,69,0,0,0.0
1901-03-12,64.1183,88.925,Shukla,70,0,0,0.0
1901-03-13,70.3944,95.60700000000001,Shukla,71,0,0,0.0
1901-03-14,77.1555,99.31700000000001,Shukla,72,0,0,0.0
1901-03-15,86.0182,99.71600000000001,Shukla,73,1,0,0.0
1901-03-16,94.1875,96.79700000000001,Krishna,74,0,0,0.0
1901-03-17,102.1067,90.943,Krishna,75,0,0,0.0
1901-03-18,109.229,82.791,Krishna,76,0,0,0.0
1901-03-19,115.1498,73.08800000000001,Krishna,77,0,0,0.0
1901-03-20,119.6459,62.552,Krishna,78,0,0,0.0
1901-03-21,122.6944,51.797,Krishna,79,0,0,0.0
1901-03-22,123.3689,41.365,Krishna,80,0,0,0.0
1901-03-23,121.9235,31.616,Krishna,81,0,0,0.0
1901-03-24,118.6297,22.83,Krishna,82,0,0,0.0
1901-03-25,114.7555,15.194,Krishna,83,0,0,0.0
1901-03-26,109.4171,8.951,Krishna,84,0,0,0.0
1901-03-27,103.7711,4.244,Krishna,85,0,0,0.0
1901-03-29,97.9003,1.237,Krishna,87,0,0,0.0
1901-03-30,91.8724,0.057999999999999996,Krishna,88,0,1,0.0
1901-03-31,84.7245,0.7859999999999999,Shukla,89,0,0,0.0
1901-04-01,78.5816,3.4610000000000003,Shukla,90,0,0,0.0
1901-04-02,72.5019,8.059,Shukla,91,0,0,0.0
1901-04-03,67.6214,14.530999999999999,Shukla,92,0,0,0.0
